Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1027390.00,3.00,3.00,10.00,2.00,3.00,5.00,4.00,3.00,0.00,18.00,3.00,41.00,16730.00,67.00,2156.00,1.63,249.70,12.89,0.97,0.00,0.03,0.16,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.82,0.44,0.34,0.00,0.22,0.41,0.04,0.10,0.27,0.04,0.00,0.00,0.04,0.03,0.00,0.08
1027480.00,4.00,1.00,4.00,2.00,4.00,4.00,7.00,4.00,0.00,9.00,2.00,3.00,10800.00,25.00,1141.00,8.33,432.00,10.56,1.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.98,0.00,0.00,0.98,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
1027540.00,3.00,3.00,10.00,2.00,2.00,3.00,2.00,4.00,1.00,11.00,2.00,16.00,12425.00,39.00,1322.50,2.44,318.59,10.64,0.99,0.01,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.15,0.80,0.00,0.04,0.85,0.00,0.01,0.00,0.14,0.01,0.00,0.00,0.00,0.00,0.00
1027580.00,4.00,3.00,10.00,2.00,2.00,4.00,6.00,3.00,1.00,13.00,3.00,13.00,10925.00,27.00,943.00,2.08,404.63,8.63,0.88,0.03,0.08,0.12,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.87,0.00,0.35,0.00,0.65,0.92,0.00,0.01,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1027680.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,5.00,0.00,0.00,2.00,2.00,6050.00,8.00,381.50,4.00,756.25,6.31,1.00,0.00,0.00,0.13,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.87,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.00
1027720.00,4.00,1.00,10.00,2.00,4.00,4.00,4.00,2.00,2.00,4.00,2.00,2.00,15100.00,24.00,865.00,12.00,629.17,5.73,1.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.95,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00
1027750.00,4.00,3.00,10.00,2.00,2.00,1.00,5.00,3.00,1.00,9.00,3.00,13.00,7475.00,15.00,734.50,1.15,498.33,9.83,0.93,0.00,0.07,0.04,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.88,0.27,0.27,0.00,0.45,0.64,0.06,0.14,0.00,0.01,0.07,0.08,0.00,0.00,0.00,0.00
1027810.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,5.00,0.00,0.00,2.00,2.00,1050.00,5.00,74.00,2.50,210.00,7.05,1.00,0.00,0.00,0.29,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.71,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00
1027840.00,2.00,3.00,5.00,2.00,3.00,1.00,3.00,4.00,2.00,4.00,1.00,1.00,22050.00,23.00,1249.50,23.00,958.70,5.67,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1028020.00,4.00,3.00,16.00,2.00,2.00,4.00,5.00,2.00,0.00,5.00,2.00,3.00,18600.00,23.00,1046.00,7.67,808.70,5.62,0.95,0.00,0.05,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1028050.00,3.00,3.00,16.00,2.00,2.00,1.00,5.00,2.00,1.00,8.00,2.00,24.00,12475.00,40.00,1268.50,1.67,311.88,10.17,0.85,0.13,0.02,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.31,0.04,0.06,0.59,0.68,0.17,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.06,0.02
1028110.00,4.00,3.00,10.00,2.00,2.00,4.00,3.00,2.00,0.00,2.00,2.00,6.00,4800.00,24.00,360.50,4.00,200.00,7.51,0.96,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.92,0.04,0.08,0.04,0.83,0.83,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04
1028230.00,4.00,2.00,10.00,2.00,4.00,3.00,4.00,2.00,1.00,10.00,2.00,6.00,10050.00,24.00,899.00,4.00,418.75,8.95,1.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.03,0.97,0.27,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.03,0.00
1030040.00,4.00,3.00,10.00,2.00,4.00,0.00,6.00,4.00,2.00,11.00,1.00,1.00,15000.00,23.00,850.00,23.00,652.17,5.67,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1030150.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,5.00,0.00,0.00,3.00,8.00,3325.00,8.00,278.50,1.00,415.63,8.38,1.00,0.00,0.00,0.34,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.39,0.54,0.00,0.34,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00
1030200.00,3.00,1.00,4.00,2.00,4.00,1.00,4.00,4.00,2.00,13.00,2.00,11.00,10325.00,19.00,674.25,1.73,543.42,6.53,0.98,0.02,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.04,0.86,0.03,0.07,0.09,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.84
1030280.00,4.00,3.00,10.00,2.00,1.00,1.00,6.00,1.00,2.00,6.00,3.00,10.00,15400.00,38.00,990.00,3.80,405.26,6.43,1.00,0.00,0.00,0.00,0.88,0.00,0.00,0.02,0.00,0.00,0.00,0.10,0.03,0.06,0.90,0.00,0.06,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.02,0.90,0.00
1030300.00,2.00,3.00,16.00,2.00,4.00,1.00,9.00,4.00,1.00,14.00,3.00,6.00,23500.00,28.00,1585.00,4.67,839.29,6.74,0.92,0.00,0.08,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.08,0.03,0.89,0.00,0.00,0.06,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.89,0.00
1034020.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,5.00,0.00,0.00,1.00,1.00,900.00,5.00,51.00,5.00,180.00,5.67,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1034130.00,4.00,1.00,17.00,2.00,4.00,4.00,8.00,3.00,0.00,8.00,2.00,3.00,34200.00,24.00,2468.00,8.00,1425.00,7.22,1.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.02,0.00,0.98,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1034220.00,3.00,3.00,10.00,2.00,4.00,4.00,4.00,4.00,1.00,11.00,5.00,7.00,9400.00,24.00,1119.50,3.43,391.67,11.91,0.95,0.05,0.00,0.00,0.08,0.05,0.00,0.00,0.67,0.02,0.00,0.18,0.00,0.88,0.12,0.00,0.00,0.11,0.05,0.05,0.00,0.00,0.67,0.00,0.00,0.12,0.00
1034350.00,4.00,0.00,0.00,0.00,3.00,0.00,0.00,5.00,0.00,0.00,3.00,7.00,3925.00,9.00,306.00,1.29,436.11,7.80,0.95,0.05,0.00,0.08,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.02,0.08,0.11,0.79,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.11,0.00
1035020.00,4.00,3.00,10.00,2.00,4.00,1.00,3.00,4.00,1.00,9.00,4.00,15.00,9800.00,23.00,941.00,1.53,426.09,9.60,1.00,0.00,0.00,0.14,0.00,0.02,0.00,0.00,0.00,0.54,0.00,0.30,0.06,0.73,0.02,0.18,0.36,0.01,0.54,0.07,0.00,0.00,0.00,0.00,0.00,0.02,0.00
1035100.00,4.00,0.00,0.00,0.00,3.00,0.00,0.00,5.00,0.00,0.00,1.00,1.00,4950.00,7.00,280.50,7.00,707.14,5.67,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1035150.00,3.00,1.00,4.00,2.00,4.00,7.00,9.00,2.00,1.00,37.00,5.00,25.00,19910.00,43.00,2865.50,1.72,463.02,14.39,0.96,0.01,0.03,0.12,0.00,0.01,0.00,0.02,0.00,0.00,0.07,0.78,0.62,0.38,0.00,0.00,0.13,0.21,0.20,0.21,0.01,0.02,0.00,0.03,0.02,0.00,0.16
1037050.00,4.00,3.00,10.00,2.00,4.00,1.00,5.00,1.00,2.00,10.00,3.00,4.00,21150.00,20.00,1326.00,5.00,1057.50,6.27,0.89,0.00,0.11,0.00,0.94,0.04,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.04,0.94,0.02,0.02,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.94,0.00
1037120.00,4.00,1.00,4.00,2.00,2.00,4.00,10.00,3.00,1.00,14.00,3.00,10.00,15875.00,22.00,1835.00,2.20,721.59,11.56,1.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.19,0.06,0.94,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00
1037190.00,2.00,1.00,4.00,2.00,2.00,1.00,6.00,1.00,1.00,12.00,3.00,12.00,6825.00,18.00,468.00,1.50,379.17,6.86,0.99,0.01,0.00,0.06,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.04,0.21,0.57,0.18,0.23,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.57,0.14
1037220.00,4.00,3.00,17.00,2.00,1.00,4.00,15.00,1.00,1.00,37.00,5.00,33.00,26375.00,34.00,2696.00,1.03,775.74,10.22,0.80,0.19,0.01,0.14,0.03,0.03,0.00,0.00,0.00,0.01,0.00,0.80,0.20,0.71,0.03,0.06,0.74,0.00,0.04,0.11,0.00,0.04,0.00,0.01,0.00,0.03,0.03
1037250.00,3.00,3.00,10.00,2.00,4.00,1.00,4.00,4.00,1.00,7.00,2.00,2.00,16350.00,23.00,949.50,11.50,710.87,5.81,1.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.98,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00
1037290.00,4.00,3.00,10.00,2.00,1.00,4.00,9.00,3.00,1.00,16.00,3.00,12.00,18275.00,31.00,2225.50,2.58,589.52,12.18,0.90,0.10,0.00,0.41,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.25,0.06,0.89,0.00,0.05,0.61,0.00,0.00,0.00,0.00,0.00,0.34,0.05,0.00,0.00,0.00
1037420.00,4.00,3.00,10.00,2.00,4.00,3.00,5.00,4.00,1.00,17.00,3.00,18.00,30350.00,41.00,2121.50,2.28,740.24,6.99,0.90,0.03,0.07,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.12,0.04,0.80,0.04,0.07,0.03,0.00,0.03,0.05,0.01,0.00,0.00,0.00,0.80,0.01
1037630.00,4.00,3.00,6.00,2.00,4.00,5.00,4.00,4.00,1.00,11.00,5.00,24.00,19000.00,28.00,1737.00,1.17,678.57,9.14,1.00,0.00,0.00,0.04,0.09,0.07,0.00,0.00,0.00,0.02,0.00,0.78,0.13,0.26,0.17,0.43,0.69,0.00,0.02,0.10,0.00,0.02,0.00,0.00,0.00,0.17,0.00
1037690.00,3.00,1.00,5.00,2.00,3.00,1.00,5.00,4.00,1.00,10.00,2.00,3.00,24950.00,25.00,1425.00,8.33,998.00,5.71,1.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.99,0.01,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00
1037720.00,4.00,1.00,4.00,2.00,4.00,5.00,4.00,4.00,1.00,15.00,4.00,17.00,8975.00,25.00,867.50,1.47,359.00,9.67,0.95,0.00,0.05,0.28,0.27,0.00,0.00,0.00,0.00,0.00,0.13,0.33,0.13,0.54,0.33,0.00,0.28,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.02
1037850.00,4.00,3.00,10.00,1.00,4.00,5.00,3.00,4.00,1.00,16.00,6.00,23.00,20070.00,63.00,1830.85,2.74,318.57,9.12,0.94,0.06,0.00,0.01,0.07,0.01,0.07,0.00,0.00,0.19,0.00,0.64,0.18,0.41,0.12,0.29,0.40,0.04,0.37,0.01,0.00,0.00,0.00,0.00,0.00,0.11,0.06
1037890.00,4.00,3.00,15.00,1.00,2.00,4.00,8.00,3.00,1.00,7.00,4.00,19.00,19950.00,48.00,1526.00,2.53,415.63,7.65,0.97,0.00,0.03,0.05,0.80,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.09,0.11,0.80,0.01,0.07,0.09,0.01,0.01,0.01,0.00,0.00,0.02,0.00,0.80,0.00
1037940.00,4.00,3.00,10.00,2.00,3.00,3.00,5.00,4.00,1.00,13.00,5.00,4.00,20100.00,29.00,1210.00,7.25,693.10,6.02,1.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.01,0.04,0.96,0.00,0.00,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00
1038000.00,2.00,3.00,10.00,2.00,4.00,1.00,4.00,4.00,1.00,5.00,3.00,6.00,11800.00,23.00,1216.00,3.83,513.04,10.31,1.00,0.00,0.00,0.87,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.92,0.05,0.00,0.92,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.05,0.00
1038080.00,3.00,2.00,10.00,2.00,4.00,4.00,5.00,1.00,1.00,17.00,6.00,28.00,11625.00,44.00,1366.75,1.57,264.20,11.76,1.00,0.00,0.00,0.11,0.08,0.00,0.03,0.00,0.10,0.01,0.00,0.67,0.42,0.49,0.08,0.01,0.38,0.06,0.38,0.00,0.00,0.00,0.10,0.00,0.00,0.08,0.00
1038110.00,4.00,2.00,16.00,2.00,4.00,1.00,2.00,4.00,1.00,6.00,3.00,7.00,10275.00,27.00,741.00,3.86,380.56,7.21,1.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.07,0.00,0.93,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.93,0.00
1040080.00,4.00,3.00,10.00,2.00,2.00,1.00,10.00,3.00,1.00,10.00,7.00,24.00,23325.00,50.00,1876.50,2.08,466.50,8.05,0.89,0.11,0.00,0.15,0.46,0.03,0.04,0.00,0.00,0.06,0.01,0.26,0.03,0.51,0.46,0.00,0.31,0.03,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.46,0.10
1040150.00,2.00,3.00,10.00,2.00,4.00,0.00,8.00,2.00,1.00,26.00,5.00,45.00,24325.00,73.00,2896.00,1.62,333.22,11.91,0.97,0.01,0.02,0.04,0.05,0.02,0.00,0.00,0.00,0.02,0.00,0.86,0.40,0.46,0.07,0.07,0.18,0.27,0.17,0.09,0.21,0.00,0.00,0.00,0.00,0.07,0.00
1040190.00,4.00,3.00,10.00,2.00,4.00,1.00,5.00,4.00,2.00,9.00,3.00,7.00,10475.00,27.00,871.50,3.86,387.96,8.32,1.00,0.00,0.00,0.30,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.65,0.01,0.35,0.00,0.64,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1040250.00,4.00,2.00,10.00,2.00,4.00,4.00,6.00,4.00,1.00,15.00,2.00,3.00,14550.00,22.00,1439.00,7.33,661.36,9.89,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.09,0.00,0.93,0.07,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00
